l1d_size,l1d_assoc,l2cache,l2assoc,mem_type,l1d_hwp_type,cacheline_size,sim_seconds
128,16,ON,8,DDR4_2400_4x16,AMPMPrefetcher,32,0.047070
128,8,OFF,2,DDR4_2400_8x8,AMPMPrefetcher,32,0.076842
64,16,ON,16,DDR3_2133_8x8,BOPPrefetcher,64,0.058050
256,4,OFF,1,DDR3_1600_8x8,TaggedPrefetcher,64,0.033701
128,1,OFF,2,DDR3_2133_8x8,None,64,0.113886
512,16,OFF,8,DDR3_1600_8x8,TaggedPrefetcher,128,0.031892
64,2,ON,2,DDR3_1600_8x8,None,128,0.056690
512,16,ON,8,DDR4_2400_16x4,None,128,0.032847
128,16,ON,2,DDR4_2400_8x8,BOPPrefetcher,128,0.038727
32,16,ON,4,DDR4_2400_8x8,BOPPrefetcher,64,0.058150
128,1,OFF,2,DDR3_2133_8x8,None,32,0.098242
128,16,OFF,16,DDR3_2133_8x8,SignaturePathPrefetcher,64,0.068360
64,16,OFF,1,DDR3_2133_8x8,TaggedPrefetcher,128,0.165178
128,1,ON,16,DDR3_2133_8x8,AMPMPrefetcher,128,0.048587
512,2,ON,1,DDR4_2400_16x4,BOPPrefetcher,128,0.032731
128,4,ON,16,DDR3_2133_8x8,BOPPrefetcher,32,0.045827
128,16,ON,8,DDR4_2400_4x16,SignaturePathPrefetcher,128,0.039318
